Company,Sample,Sample,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,PCT_CHIMERAS,Contamination
Kangsoo,YSM,MUD301,47.621944,41,0.895047,0.785493,0.650296,0.006763,0
DeYi,GYQJ,guoyanqijing,66.718073,62,0.881288,0.846365,0.792565,0.017511,0.004
Kangsoo,GJP,GaoJingPing,48.552464,41,0.895975,0.786846,0.653163,0.007994,0.00012
DeYi,WSQ_M,DYDFN-608-7,56.780194,54,0.901873,0.873619,0.799441,0.018004,0.00425
DeYi,WSQ_F,DYDFN-608-6,57.832438,55,0.902966,0.871639,0.795097,0.016602,0.00376
DeYi,WSQ,DYDFN-608-5,51.635873,47,0.898936,0.842408,0.733339,0.008543,0.00359
DeYi,YYW_M,DYDFN-568-6,62.959058,59,0.896559,0.864772,0.79955,0.006424,0.00534
DeYi,YYW_F,DYDFN-568-5,57.707994,54,0.897109,0.85824,0.776683,0.006821,0.00402
DeYi,YYW,DYDFN-568-4,51.179703,47,0.891591,0.828495,0.718503,0.004183,0.00381
Kangsoo,LYZ_M,C2017072604101,69.041281,59,0.955566,0.917697,0.837752,0.00913,0.00008
Kangsoo,LYZ_F,C2017072604001,71.908914,62,0.957164,0.921862,0.847916,0.004247,0.00009
Kangsoo,LYZ,C2017072603901,65.728264,56,0.95428,0.909152,0.819573,0.004799,0.00006
Kangsoo,LRY_M,C2017072603801,73.490642,63,0.9567,0.924085,0.854633,0.004919,0.00004
Kangsoo,LRY_F,C2017072603701,78.831497,68,0.958899,0.931348,0.871838,0.004841,0.00011
Kangsoo,LRY,C2017072603601,76.052724,65,0.958578,0.928522,0.864398,0.005535,0.00019
Kangsoo,HHW,C2017052602301,67.886347,62,0.956364,0.924891,0.861013,0.001991,0.00234
Mygeno,CZS_M,C170315C07001-M1,79.210277,59,0.916719,0.83551,0.744236,0.00133,0.00714
Mygeno,CZS_F,C170315C07001-F1,69.976737,52,0.909842,0.815505,0.711156,0.001334,0.0067
Mygeno,CZS,C170315C07001,76.244316,58,0.919895,0.839388,0.746457,0.001286,0.00678
