Company,Sample,Sample,MEAN_TARGET_COVERAGE,MEDIAN_TARGET_COVERAGE,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,PCT_TARGET_BASES_30X,PCT_CHIMERAS,Contamination,HET_HOMVAR_RATIO,TOTAL_SNPS,PCT_DBSNP,DBSNP_TITV,NOVEL_TITV,TOTAL_INDELS,PCT_DBSNP_INDELS,DBSNP_INS_DEL_RATIO,NOVEL_INS_DEL_RATIO,NUM_SINGLETONS
Kangsoo,YSM,MUD301,47.621944,41,0.895047,0.785493,0.650296,0.006763,0,1.37253,26193,0.980491,2.950469,1.689474,828,0.914251,0.911616,0.44898,1472
DeYi,GYQJ,guoyanqijing,66.718073,62,0.881288,0.846365,0.792565,0.017511,0.004,1.505663,25955,0.976459,2.918973,2.302703,981,0.849134,0.937209,0.644444,1436
Kangsoo,GJP,GaoJingPing,48.552464,41,0.895975,0.786846,0.653163,0.007994,0.00012,1.45401,26401,0.979887,2.942996,1.681818,836,0.911483,0.989556,0.423077,1474
DeYi,WSQ_M,DYDFN-608-7,56.780194,54,0.901873,0.873619,0.799441,0.018004,0.00425,1.536675,26057,0.975592,3.007725,1.971963,1148,0.793554,0.878351,0.462963,758
DeYi,WSQ_F,DYDFN-608-6,57.832438,55,0.902966,0.871639,0.795097,0.016602,0.00376,1.430829,25906,0.974716,2.940543,2.465608,1094,0.795247,0.90372,0.4,720
DeYi,WSQ,DYDFN-608-5,51.635873,47,0.898936,0.842408,0.733339,0.008543,0.00359,1.503497,26307,0.974494,2.958005,1.930131,1098,0.799636,0.892241,0.456954,131
DeYi,YYW_M,DYDFN-568-6,62.959058,59,0.896559,0.864772,0.79955,0.006424,0.00534,1.265665,24979,0.977421,2.91266,2.241379,1064,0.802632,0.864629,0.478873,615
DeYi,YYW_F,DYDFN-568-5,57.707994,54,0.897109,0.85824,0.776683,0.006821,0.00402,1.539802,25416,0.976157,2.982343,2.189474,1055,0.794313,0.853982,0.456376,727
DeYi,YYW,DYDFN-568-4,51.179703,47,0.891591,0.828495,0.718503,0.004183,0.00381,1.477508,25495,0.97729,2.912074,2.487952,1059,0.796034,0.809013,0.411765,59
Kangsoo,LYZ_M,C2017072604101,69.041281,59,0.955566,0.917697,0.837752,0.00913,0.00008,1.560748,28428,0.975517,2.910873,2.207373,1192,0.864094,0.893382,1,813
Kangsoo,LYZ_F,C2017072604001,71.908914,62,0.957164,0.921862,0.847916,0.004247,0.00009,1.460656,28492,0.974238,2.900239,2.150215,1173,0.85422,0.938104,0.78125,791
Kangsoo,LYZ,C2017072603901,65.728264,56,0.95428,0.909152,0.819573,0.004799,0.00006,1.487412,28368,0.974549,2.909219,2.252252,1180,0.864407,0.920904,0.684211,58
Kangsoo,LRY_M,C2017072603801,73.490642,63,0.9567,0.924085,0.854633,0.004919,0.00004,1.51231,28643,0.976085,2.82567,2.442211,1201,0.857619,0.889908,0.628571,713
Kangsoo,LRY_F,C2017072603701,78.831497,68,0.958899,0.931348,0.871838,0.004841,0.00011,1.475652,25673,0.975733,2.852661,2.162437,1149,0.851175,0.925197,0.628571,696
Kangsoo,LRY,C2017072603601,76.052724,65,0.958578,0.928522,0.864398,0.005535,0.00019,1.540634,28930,0.975112,2.858569,2.076923,1237,0.852061,0.882143,0.811881,121
Kangsoo,HHW,C2017052602301,67.886347,62,0.956364,0.924891,0.861013,0.001991,0.00234,1.480271,28225,0.975447,2.888151,2.430693,1189,0.8545,0.942639,0.616822,1541
Mygeno,CZS_M,C170315C07001-M1,79.210277,59,0.916719,0.83551,0.744236,0.00133,0.00714,1.48586,28281,0.976946,2.885935,2.211823,1036,0.875483,0.950538,0.697368,753
Mygeno,CZS_F,C170315C07001-F1,69.976737,52,0.909842,0.815505,0.711156,0.001334,0.0067,1.449022,28255,0.976677,2.891694,2.138095,1066,0.877111,0.972574,0.578313,762
Mygeno,CZS,C170315C07001,76.244316,58,0.919895,0.839388,0.746457,0.001286,0.00678,1.452914,28305,0.976153,2.891549,2.199052,1047,0.886342,0.94958,0.630137,86
